album_popularity,album_id,energy,analysis_url,speechiness,id,title,track_popularity,track_id,acousticness,danceability,artist_id,artist_popularity,track_href,album_release_date,tempo,instrumentalness,key,duration_ms,album_name,artist,type,liveness,uri,mode,time_signature,loudness,valence
100,7oJa8bPFKVbq4c7NswXHw8,0.652,https://api.spotify.com/v1/audio-analysis/0FE9t6xYkqWXU2ahLh6D8X,0.0802,0FE9t6xYkqWXU2ahLh6D8X,Shape of You,100,0FE9t6xYkqWXU2ahLh6D8X,0.581,0.825,6eUKZXaKkcviH0Ku9w2n3V,98,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X,2017-01-06,95.977,0,1,233713,Shape of You,Ed Sheeran,audio_features,0.0931,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,0,4,-3.183,0.933
91,3tWaxq6QGN4jkrrXHcvNBA,0.661,https://api.spotify.com/v1/audio-analysis/1FvU97lrWOG2NRxErh6OZz,0.27,1FvU97lrWOG2NRxErh6OZz,Bad and Boujee (feat. Lil Uzi Vert),91,1FvU97lrWOG2NRxErh6OZz,0.0633,0.897,6oMuImdp5ZcFhWP0ESe6mG,92,https://api.spotify.com/v1/tracks/1FvU97lrWOG2NRxErh6OZz,2016-10-28,127.081,0,8,334467,Bad and Boujee (feat. Lil Uzi Vert),Migos,audio_features,0.116,spotify:track:1FvU97lrWOG2NRxErh6OZz,0,4,-6.2,0.204
88,2i54PoQ1ENZSYsZZE8haRr,0.46,https://api.spotify.com/v1/audio-analysis/6yIdwnpDHufLWgQcveTPMk,0.0674,6yIdwnpDHufLWgQcveTPMk,I Don’t Wanna Live Forever (Fifty Shades Darker),88,6yIdwnpDHufLWgQcveTPMk,0.0546,0.74,5ZsFI1h6hIdQRw2ti0hz81,89,https://api.spotify.com/v1/tracks/6yIdwnpDHufLWgQcveTPMk,2016-12-09,117.988,1.35e-05,0,245200,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,audio_features,0.353,spotify:track:6yIdwnpDHufLWgQcveTPMk,1,4,-8.363,0.08
85,5bWv9n00gp3az1ZPAP5eBc,0.694,https://api.spotify.com/v1/audio-analysis/56cswAa9WdFBsjsTyPBAKA,0.129,56cswAa9WdFBsjsTyPBAKA,Bad Things - With Camila Cabello,85,56cswAa9WdFBsjsTyPBAKA,0.223,0.674,6TIYQ3jFPwQSRmorSezPxX,85,https://api.spotify.com/v1/tracks/56cswAa9WdFBsjsTyPBAKA,2016-10-14,137.839,0,2,239280,Bad Things,Machine Gun Kelly,audio_features,0.183,spotify:track:56cswAa9WdFBsjsTyPBAKA,1,4,-4.739,0.255
94,0rSLgV8p5FzfnqlEk4GzxE,0.524,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.0338,7BKLCZ1jbUBVqRi2FVlTVw,Closer,94,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,69GGBxA162lTqCwzJG5jLp,95,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,2016-07-29,95.01,0,8,244960,Closer,The Chainsmokers,audio_features,0.111,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,1,4,-5.599,0.635
85,6wALaPGffjfxQnGQUAk7kX,0.627,https://api.spotify.com/v1/audio-analysis/0AKejOKlGdiB53QpwAeenO,0.0792,0AKejOKlGdiB53QpwAeenO,Don't Wanna Know,85,0AKejOKlGdiB53QpwAeenO,0.356,0.777,04gDigrS5kc9YWfZHwBETP,90,https://api.spotify.com/v1/tracks/0AKejOKlGdiB53QpwAeenO,2016-10-11,100.054,0,7,214480,Don't Wanna Know,Maroon 5,audio_features,0.0956,spotify:track:0AKejOKlGdiB53QpwAeenO,1,4,-6.142,0.432
64,0X96HlegVXzQfJVIBWCRp6,0.592,https://api.spotify.com/v1/audio-analysis/2IY7eOUDjw2ArKYxKa2jXc,0.281,2IY7eOUDjw2ArKYxKa2jXc,Starboy,64,2IY7eOUDjw2ArKYxKa2jXc,0.169,0.682,1Xyo4u8uXC1ZmMpatF05PJ,98,https://api.spotify.com/v1/tracks/2IY7eOUDjw2ArKYxKa2jXc,2016-09-22,186.041,5.49e-06,7,230467,Starboy,The Weeknd,audio_features,0.136,spotify:track:2IY7eOUDjw2ArKYxKa2jXc,1,4,-7.033,0.477
88,1YxmW7DO2dM05gwMKTbr7l,0.543,https://api.spotify.com/v1/audio-analysis/6NMNgWgEAzde5M8U3lc6FN,0.298,6NMNgWgEAzde5M8U3lc6FN,Fake Love,88,6NMNgWgEAzde5M8U3lc6FN,0.182,0.924,3TVXtAsR1Inumwj472S9r4,100,https://api.spotify.com/v1/tracks/6NMNgWgEAzde5M8U3lc6FN,2016-10-24,133.907,0,9,207813,Fake Love,Drake,audio_features,0.103,spotify:track:6NMNgWgEAzde5M8U3lc6FN,0,4,-7.474,0.726
90,5v6iBhIlflzR9rEd1LAMbd,0.646,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,0.0614,6fujklziTHa8uoM5OQSfIo,Black Beatles,85,6fujklziTHa8uoM5OQSfIo,0.13,0.794,7iZtZyCzp3LItcw1wtPI3D,88,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,2016-08-12,145.931,0,0,291893,SremmLife 2 (Deluxe),Rae Sremmurd,audio_features,0.14,spotify:track:6fujklziTHa8uoM5OQSfIo,1,4,-6.235,0.331
61,7HnbhIDKXIBhMR4EPGuMgu,0.751,https://api.spotify.com/v1/audio-analysis/0wI7QkCcs8FUQE1OkXUIqd,0.289,0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,48,0wI7QkCcs8FUQE1OkXUIqd,0.0272,0.318,2wUjUUtkb5lvLKcGKsKqsR,88,https://api.spotify.com/v1/tracks/0wI7QkCcs8FUQE1OkXUIqd,2015-11-13,193.62,0,0,230240,Know-It-All,Alessia Cara,audio_features,0.11,spotify:track:0wI7QkCcs8FUQE1OkXUIqd,1,4,-5.732,0.431
94,64vx3cUb97lQGlgt8zozWL,0.644,https://api.spotify.com/v1/audio-analysis/15vzANxN8G9wWfwAJLLMCg,0.031,15vzANxN8G9wWfwAJLLMCg,Paris,94,15vzANxN8G9wWfwAJLLMCg,0.0243,0.646,69GGBxA162lTqCwzJG5jLp,95,https://api.spotify.com/v1/tracks/15vzANxN8G9wWfwAJLLMCg,2017-01-13,99.999,0,2,221520,Paris,The Chainsmokers,audio_features,0.0888,spotify:track:15vzANxN8G9wWfwAJLLMCg,1,4,-6.763,0.26
84,5EA4kogB3cZr2qykFlZDYV,0.803,https://api.spotify.com/v1/audio-analysis/2gFvRmQiWg9fN9i74Q0aiw,0.0797,2gFvRmQiWg9fN9i74Q0aiw,24K Magic,84,2gFvRmQiWg9fN9i74Q0aiw,0.034,0.818,0du5cEVh5yTK9QJze8zA0C,93,https://api.spotify.com/v1/tracks/2gFvRmQiWg9fN9i74Q0aiw,2016-10-07,106.97,0,1,225983,24K Magic,Bruno Mars,audio_features,0.153,spotify:track:2gFvRmQiWg9fN9i74Q0aiw,1,4,-4.282,0.618
89,3OZgEywV4krCZ814pTJWr7,0.728,https://api.spotify.com/v1/audio-analysis/1pKeFVVUOPjFsOABub0OaV,0.232,1pKeFVVUOPjFsOABub0OaV,Side To Side,83,1pKeFVVUOPjFsOABub0OaV,0.0373,0.65,66CXWjxzNUsdJxJ2JdwvnR,91,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,2016-05-20,159.167,0,6,226160,Dangerous Woman,Ariana Grande,audio_features,0.328,spotify:track:1pKeFVVUOPjFsOABub0OaV,0,4,-5.914,0.624
81,2hNdpum500dG6mDXs87nbc,0.637,https://api.spotify.com/v1/audio-analysis/7HRHMuUTY7Dk4mw7CjS36i,0.0471,7HRHMuUTY7Dk4mw7CjS36i,Love On The Brain,64,7HRHMuUTY7Dk4mw7CjS36i,0.0717,0.509,5pKCCKE2ajJHZ9KAiaK11H,94,https://api.spotify.com/v1/tracks/7HRHMuUTY7Dk4mw7CjS36i,2016-01-28,172.006,1.08e-05,4,224000,ANTI,Rihanna,audio_features,0.0789,spotify:track:7HRHMuUTY7Dk4mw7CjS36i,0,3,-4.83,0.385
85,0HQMvMadFsOi0fVWYHq5Tr,0.516,https://api.spotify.com/v1/audio-analysis/206uaQyzb8kOiZ7rHw9wCn,0.219,206uaQyzb8kOiZ7rHw9wCn,Bounce Back,85,206uaQyzb8kOiZ7rHw9wCn,0.1,0.788,0c173mlxpT3dSFRgMO8XPh,92,https://api.spotify.com/v1/tracks/206uaQyzb8kOiZ7rHw9wCn,2016-10-31,81.497,0,1,222400,Bounce Back,Big Sean,audio_features,0.129,spotify:track:206uaQyzb8kOiZ7rHw9wCn,0,4,-6.807,0.246
39,7GY3TZRyZsrNyUj6YkRFbh,0.821,https://api.spotify.com/v1/audio-analysis/7enFbf4reUpo2CCQYpwoHC,0.139,7enFbf4reUpo2CCQYpwoHC,I Feel It Coming,39,7enFbf4reUpo2CCQYpwoHC,0.427,0.771,1Xyo4u8uXC1ZmMpatF05PJ,98,https://api.spotify.com/v1/tracks/7enFbf4reUpo2CCQYpwoHC,2016-11-17,92.981,0,0,269187,I Feel It Coming,The Weeknd,audio_features,0.0853,spotify:track:7enFbf4reUpo2CCQYpwoHC,0,4,-5.889,0.588
20,7abFHHN9O8plGZIqlO2R8y,0.382,https://api.spotify.com/v1/audio-analysis/34dVqrAW35mn6dpgfzntOS,0.482,34dVqrAW35mn6dpgfzntOS,Caroline,20,34dVqrAW35mn6dpgfzntOS,0.278,0.938,3Gm5F95VdRxW3mqCn8RPBJ,79,https://api.spotify.com/v1/tracks/34dVqrAW35mn6dpgfzntOS,2016-03-09,120.045,0,10,209737,Caroline,Aminé,audio_features,0.126,spotify:track:34dVqrAW35mn6dpgfzntOS,1,4,-8.548,0.655
86,02sEJTj1sye1JaqxqpcSCp,0.713,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,0.0368,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,83,0lYBSQXN6rCTvUZvg9S0lU,0.0771,0.652,540vIaP2JwjQb9dm3aArA4,89,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,2016-08-05,100.023,1.02e-05,8,205947,Encore,DJ Snake,audio_features,0.144,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,1,4,-5.311,0.147
80,5CMXN3LgVh2SstI241nXcV,0.687,https://api.spotify.com/v1/audio-analysis/2HgGPga67UQXWW2JLuYE6E,0.217,2HgGPga67UQXWW2JLuYE6E,T-Shirt,80,2HgGPga67UQXWW2JLuYE6E,0.242,0.865,6oMuImdp5ZcFhWP0ESe6mG,92,https://api.spotify.com/v1/tracks/2HgGPga67UQXWW2JLuYE6E,2017-01-13,139.023,0,10,242407,T-Shirt,Migos,audio_features,0.158,spotify:track:2HgGPga67UQXWW2JLuYE6E,0,4,-3.744,0.515
73,7bYlYNvcMA1gkiKQ22xrum,0.378,https://api.spotify.com/v1/audio-analysis/5wQRNkb7OhzJoT1P0OZ4Rw,0.27,5wQRNkb7OhzJoT1P0OZ4Rw,All Time Low,73,5wQRNkb7OhzJoT1P0OZ4Rw,0.402,0.66,50JJSqHUf2RQ9xsHs0KMHg,84,https://api.spotify.com/v1/tracks/5wQRNkb7OhzJoT1P0OZ4Rw,2015-04-14,90.056,0,0,221333,All Time Low,Jon Bellion,audio_features,0.0838,spotify:track:5wQRNkb7OhzJoT1P0OZ4Rw,1,4,-9.728,0.499
32,3v83rWlFBPbYT7HnC0wCZT,0.686,https://api.spotify.com/v1/audio-analysis/1oHCgpheYhmhQbhCmbhpWn,0.177,1oHCgpheYhmhQbhCmbhpWn,Mercy,32,1oHCgpheYhmhQbhCmbhpWn,0.131,0.409,7n2wHs1TKAczGzO7Dd2rGr,90,https://api.spotify.com/v1/tracks/1oHCgpheYhmhQbhCmbhpWn,2016-08-18,147.929,0,11,208733,Mercy,Shawn Mendes,audio_features,0.11,spotify:track:1oHCgpheYhmhQbhCmbhpWn,0,4,-4.893,0.367
84,40LbnfieVTWtHrK24WQeEB,0.83,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,0.0749,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",84,6JV2JOEocMgcZxYSZelKcc,0.0123,0.667,31TPClRtHm23RisEBtV3X7,86,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,2016-05-06,113.03,0,0,236002,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,audio_features,0.191,spotify:track:6JV2JOEocMgcZxYSZelKcc,1,4,-5.715,0.716
87,3J8W9AOjQhnBLCX33m3atT,0.396,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.0286,6i0V12jOa3mr6uu4WYhUBr,Heathens,87,6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,3YQKmKGau1PzlVlkL1iodx,91,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,2016-06-16,90.024,3.58e-05,4,195920,Heathens,Twenty One Pilots,audio_features,0.105,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0,4,-9.348,0.547
95,3meZFplbMmji648oWUNEfQ,0.763,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.0523,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),95,5knuzwU65gJK7IF5yJsuaW,0.406,0.72,6MDME20pz9RveH9rEXvrOM,88,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,2016-10-21,101.965,0,9,251088,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,audio_features,0.18,spotify:track:5knuzwU65gJK7IF5yJsuaW,0,4,-4.068,0.748
77,02TJBSiAtYZK35RaoOkvpG,0.407,https://api.spotify.com/v1/audio-analysis/5dTJMpqiELczVuHJP3OAEu,0.0297,5dTJMpqiELczVuHJP3OAEu,This Town,77,5dTJMpqiELczVuHJP3OAEu,0.711,0.69,1Hsdzj7Dlq2I7tHP7501T4,75,https://api.spotify.com/v1/tracks/5dTJMpqiELczVuHJP3OAEu,2016-09-29,111.916,0,9,232600,This Town,Niall Horan,audio_features,0.126,spotify:track:5dTJMpqiELczVuHJP3OAEu,1,4,-7.739,0.178
56,7l7krK8FvTzUljTwR50qlZ,0.615,https://api.spotify.com/v1/audio-analysis/6DG2g1UhROp5pnM8fx7zH2,0.104,6DG2g1UhROp5pnM8fx7zH2,Starving,53,6DG2g1UhROp5pnM8fx7zH2,0.379,0.695,5p7f24Rk5HkUZsaS3BLG5F,83,https://api.spotify.com/v1/tracks/6DG2g1UhROp5pnM8fx7zH2,2016-07-15,99.817,0,4,181880,HAIZ,Hailee Steinfeld,audio_features,0.104,spotify:track:6DG2g1UhROp5pnM8fx7zH2,1,4,-4.194,0.509
85,55cXOrwWxwycCFL8wbXi6L,0.653,https://api.spotify.com/v1/audio-analysis/0WjYgf4qH3B0v0HmW61doL,0.289,0WjYgf4qH3B0v0HmW61doL,iSpy,85,0WjYgf4qH3B0v0HmW61doL,0.378,0.746,4qBgvVog0wzW75IQ48mU7v,79,https://api.spotify.com/v1/tracks/0WjYgf4qH3B0v0HmW61doL,2016-12-02,75.016,0,7,253107,iSpy,Kyle,audio_features,0.229,spotify:track:0WjYgf4qH3B0v0HmW61doL,1,4,-6.745,0.663
0,4QpBTiPO4kAchUx9XYjY5E,0.297,https://api.spotify.com/v1/audio-analysis/42RxuXnd94CPWEPJjZIGWl,0.05,42RxuXnd94CPWEPJjZIGWl,Water Under The Bridge,0,42RxuXnd94CPWEPJjZIGWl,0.923,0.38,1t8ZK2pG8AGOdHv0fsOo6g,0,https://api.spotify.com/v1/tracks/42RxuXnd94CPWEPJjZIGWl,2015-12-15,184.276,0,2,224575,Water Under The Bridge,Amanda Adele,audio_features,0.112,spotify:track:42RxuXnd94CPWEPJjZIGWl,1,4,-5.506,0.258
86,0BL67dR6x0CPU7B7J9P8qC,0.564,https://api.spotify.com/v1/audio-analysis/1Pw5C4N6Fn5E4mGCxmbbVa,0.0523,1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,86,1Pw5C4N6Fn5E4mGCxmbbVa,0.693,0.4,4IWBUUAFIplrNtaOHcJPRM,87,https://api.spotify.com/v1/tracks/1Pw5C4N6Fn5E4mGCxmbbVa,2016-09-09,99.269,0,10,211240,Say You Won't Let Go,James Arthur,audio_features,0.0863,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,1,4,-7.444,0.449
79,3Xz1Bcn4YP9bdqlsstMfuJ,0.698,https://api.spotify.com/v1/audio-analysis/7BPw9h8vCIX94N0rjFU12S,0.105,7BPw9h8vCIX94N0rjFU12S,Cheap Thrills,69,7BPw9h8vCIX94N0rjFU12S,0.0472,0.628,5WUlDfRSoLAfcVSX1WnrxN,91,https://api.spotify.com/v1/tracks/7BPw9h8vCIX94N0rjFU12S,2016-02-18,89.976,0.00143,6,211667,This Is Acting,Sia,audio_features,0.0907,spotify:track:7BPw9h8vCIX94N0rjFU12S,0,4,-5.608,0.73
79,4mchkmnzdTYIEAnw2FijA3,0.525,https://api.spotify.com/v1/audio-analysis/0qy5D3OJre7SPJNMOL9I71,0.132,0qy5D3OJre7SPJNMOL9I71,Broccoli,79,0qy5D3OJre7SPJNMOL9I71,0.236,0.886,5M0lbkGluOPXLeFjApw8r8,80,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,2016-04-06,145.99,0,8,225205,Broccoli (feat. Lil Yachty) - Single,D.R.A.M.,audio_features,0.057,spotify:track:0qy5D3OJre7SPJNMOL9I71,1,4,-7.39,0.711
38,1NwnEwT5qtDv0JDYgFywdC,0.817,https://api.spotify.com/v1/audio-analysis/1mSlftOO1dlDRXAyOE0Sbd,0.386,1mSlftOO1dlDRXAyOE0Sbd,Treat You Better,38,1mSlftOO1dlDRXAyOE0Sbd,0.128,0.448,7n2wHs1TKAczGzO7Dd2rGr,90,https://api.spotify.com/v1/tracks/1mSlftOO1dlDRXAyOE0Sbd,2016-06-03,83.015,0,10,187973,Treat You Better,Shawn Mendes,audio_features,0.105,spotify:track:1mSlftOO1dlDRXAyOE0Sbd,0,4,-4.069,0.718
81,5sQTfUX9uSwfCtPiYGO20V,0.887,https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd,0.275,1lItf5ZXJc1by9SbPeljFd,Juju On That Beat (TZ Anthem),81,1lItf5ZXJc1by9SbPeljFd,0.00381,0.807,7nKeLE1toRtW4M279iS26h,73,https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,2016-09-30,160.517,0,1,144244,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,audio_features,0.391,spotify:track:1lItf5ZXJc1by9SbPeljFd,1,4,-3.892,0.794
72,3Wf4baZy3bcmcdZhft3JK6,0.76,https://api.spotify.com/v1/audio-analysis/0jMikeoKkkSOby4ofddqYs,0.0361,0jMikeoKkkSOby4ofddqYs,Better Man,72,0jMikeoKkkSOby4ofddqYs,0.126,0.524,3CygdxquGHurS7f9LjNLkv,70,https://api.spotify.com/v1/tracks/0jMikeoKkkSOby4ofddqYs,2016-10-20,143.991,1.1e-05,5,260933,Better Man,Little Big Town,audio_features,0.239,spotify:track:0jMikeoKkkSOby4ofddqYs,1,4,-4.214,0.449
85,6vXl3I6ZEja5hOpiygJt89,0.773,https://api.spotify.com/v1/audio-analysis/6hdkw1wzhIRYPlYDUtCY5m,0.0949,6hdkw1wzhIRYPlYDUtCY5m,Love Me Now,85,6hdkw1wzhIRYPlYDUtCY5m,0.572,0.416,5y2Xq6xcjJb2jVM54GHK3t,87,https://api.spotify.com/v1/tracks/6hdkw1wzhIRYPlYDUtCY5m,2016-10-07,122.65,0,8,210307,Love Me Now,John Legend,audio_features,0.105,spotify:track:6hdkw1wzhIRYPlYDUtCY5m,1,4,-3.784,0.714
87,2SByipSK8eZ2pasaIwwzhf,0.869,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,0.172,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,87,1i1fxkWeaMmKEB4T7zqbzK,0.157,0.532,69GGBxA162lTqCwzJG5jLp,95,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,2016-02-05,159.803,0.00508,11,208373,Don't Let Me Down,The Chainsmokers,audio_features,0.136,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,1,4,-5.094,0.419
4,06vIly1nvqHtM6Djais1WM,0.359,https://api.spotify.com/v1/audio-analysis/4gczLfVvPH2hlfKlLtr7SW,0.278,4gczLfVvPH2hlfKlLtr7SW,Down,4,4gczLfVvPH2hlfKlLtr7SW,0.647,0.598,1xHQO9GJIW9OXHxGBISYc5,74,https://api.spotify.com/v1/tracks/4gczLfVvPH2hlfKlLtr7SW,2016-03-04,83.996,0.00435,5,197787,Down,Marian Hill,audio_features,0.125,spotify:track:4gczLfVvPH2hlfKlLtr7SW,1,4,-14.696,0.061
73,2N7kidh1wA9EoLdf16QWrz,0.469,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,0.0326,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,73,7mldq42yDuxiUNn08nvzHO,0.463,0.731,2kucQ9jQwuD8jWdtR9Ef38,78,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,2017-02-01,98.963,1.04e-06,5,165387,Body Like A Back Road,Sam Hunt,audio_features,0.103,spotify:track:7mldq42yDuxiUNn08nvzHO,1,4,-7.226,0.618
51,4BC7xFBCxUMBEgGpxRBaCy,0.792,https://api.spotify.com/v1/audio-analysis/0TnmrW9L8GSaBMhTtEQtCK,0.0365,0TnmrW9L8GSaBMhTtEQtCK,Congratulations,51,0TnmrW9L8GSaBMhTtEQtCK,0.198,0.628,246dkjvS1zLTtiykXe5h60,86,https://api.spotify.com/v1/tracks/0TnmrW9L8GSaBMhTtEQtCK,2016-11-04,123.13,0,6,220320,Congratulations,Post Malone,audio_features,0.261,spotify:track:0TnmrW9L8GSaBMhTtEQtCK,1,4,-4.205,0.487
68,77HfZENS166sAS9SUoBwYG,0.723,https://api.spotify.com/v1/audio-analysis/3XIIOCu6B8PuGq5j61asEM,0.268,3XIIOCu6B8PuGq5j61asEM,The Greatest,68,3XIIOCu6B8PuGq5j61asEM,0.0109,0.666,5WUlDfRSoLAfcVSX1WnrxN,91,https://api.spotify.com/v1/tracks/3XIIOCu6B8PuGq5j61asEM,2016,192.024,0.00047,1,210893,The Greatest,Sia,audio_features,0.0507,spotify:track:3XIIOCu6B8PuGq5j61asEM,1,4,-6.164,0.731
72,45qJ1sUYhQL9AJUAlCk80Q,0.825,https://api.spotify.com/v1/audio-analysis/3ZMFrvkNgwwMfPdX3aThYs,0.06,3ZMFrvkNgwwMfPdX3aThYs,Play That Song,72,3ZMFrvkNgwwMfPdX3aThYs,0.0238,0.393,3FUY2gzHeIiaesXtOAdB7A,78,https://api.spotify.com/v1/tracks/3ZMFrvkNgwwMfPdX3aThYs,2016-09-29,99.188,2.95e-06,3,241360,Play That Song,Train,audio_features,0.0951,spotify:track:3ZMFrvkNgwwMfPdX3aThYs,1,4,-1.746,0.543
78,1IbfOjLqUSkhtXLpX31WZq,0.417,https://api.spotify.com/v1/audio-analysis/6wycnu8FWXsj68ig7BEot9,0.0363,6wycnu8FWXsj68ig7BEot9,Blue Ain't Your Color,74,6wycnu8FWXsj68ig7BEot9,0.606,0.686,0u2FHSq3ln94y5Q57xazwf,76,https://api.spotify.com/v1/tracks/6wycnu8FWXsj68ig7BEot9,2016-05-06,82.407,1.79e-06,7,230600,Ripcord,Keith Urban,audio_features,0.0844,spotify:track:6wycnu8FWXsj68ig7BEot9,1,3,-7.787,0.45
77,1DTBcVfk3zXPHRmgpY6rFZ,0.783,https://api.spotify.com/v1/audio-analysis/7f08qp3HROTkfrtNpiYGGo,0.0276,7f08qp3HROTkfrtNpiYGGo,Dirt On My Boots,72,7f08qp3HROTkfrtNpiYGGo,0.116,0.685,4MoAOfV4ROWofLG3a3hhBN,70,https://api.spotify.com/v1/tracks/7f08qp3HROTkfrtNpiYGGo,2016-05-13,90.008,0,11,201893,California Sunrise,Jon Pardi,audio_features,0.194,spotify:track:7f08qp3HROTkfrtNpiYGGo,1,4,-4.152,0.532
79,35ljAE1f5Qmp2ZvVir34tL,0.576,https://api.spotify.com/v1/audio-analysis/05Z7jet4VDNVgNQWcYHnrk,0.0829,05Z7jet4VDNVgNQWcYHnrk,Party,79,05Z7jet4VDNVgNQWcYHnrk,0.0556,0.762,7bXgB6jMjp9ATFy66eO08Z,90,https://api.spotify.com/v1/tracks/05Z7jet4VDNVgNQWcYHnrk,2016-12-16,142.096,0,1,220813,Party,Chris Brown,audio_features,0.0869,spotify:track:05Z7jet4VDNVgNQWcYHnrk,0,4,-4.951,0.317
37,5ifltC1ox8bhaubJF9qTZ1,0.626,https://api.spotify.com/v1/audio-analysis/0CexLaYHQrvcTZZb8Ra54e,0.0275,0CexLaYHQrvcTZZb8Ra54e,Star Of The Show,37,0CexLaYHQrvcTZZb8Ra54e,0.129,0.69,6x2LnllRG5uGarZMsD4iO8,76,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e,2016-09-30,101.958,0,7,181200,Star Of The Show,Thomas Rhett,audio_features,0.169,spotify:track:0CexLaYHQrvcTZZb8Ra54e,1,4,-5.831,0.652
85,46yAYzRhSMPA44m0MzSr6g,0.471,https://api.spotify.com/v1/audio-analysis/2BrzlUj1u1CtvaJDGIKpsP,0.0577,2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),85,2BrzlUj1u1CtvaJDGIKpsP,0.592,0.588,55fhWPvDiMpLnE4ZzNXZyW,77,https://api.spotify.com/v1/tracks/2BrzlUj1u1CtvaJDGIKpsP,2016-11-15,152.881,0.00146,0,242081,Make Me (Cry),Noah Cyrus,audio_features,0.0733,spotify:track:2BrzlUj1u1CtvaJDGIKpsP,1,4,-7.287,0.211
92,3CCnGldVQ90c26aFATC1PW,0.409,https://api.spotify.com/v1/audio-analysis/6I6NX6tjGsxFAsIfGzY9lJ,0.421,6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,82,6I6NX6tjGsxFAsIfGzY9lJ,0.361,0.653,6l3HvQ5sa6mXTsMTB19rO5,91,https://api.spotify.com/v1/tracks/6I6NX6tjGsxFAsIfGzY9lJ,2016-12-09,174.324,0.00012,9,264747,4 Your Eyez Only,J. Cole,audio_features,0.189,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,1,4,-11.446,0.181
93,2AvupjUeMnSffKEV05x222,0.674,https://api.spotify.com/v1/audio-analysis/6p8NuHm8uCGnn2Dtbtf7zE,0.264,6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),76,6p8NuHm8uCGnn2Dtbtf7zE,0.307,0.92,6oMuImdp5ZcFhWP0ESe6mG,92,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,2017-01-27,141.967,0,1,304041,Culture,Migos,audio_features,0.104,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0,4,-5.662,0.737
