,track_id,acousticness,album_popularity,artist_popularity,album_release_date,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,now,speechiness,tempo,track_popularity,valence
175,00NAQYOP4AmWR549nnYJZu,0.0183,99.0,98.0,2016-11-25,0.674,265600.0,0.779,7.35e-06,0.0,0.474,-5.779,1.0,0,0.0509,109.933,75.0,0.728
757,014V6u9VubefjaPPl1QkTJ,0.153,66.0,92.0,2015-07-24,0.64,282546.0,0.841,0.0,1.0,0.0457,-2.426,0.0,0,0.0466,121.075,55.0,0.0461
534,026yenUGRg687r3Muqkyhf,0.0159,3.0,77.0,2015-10-20,0.619,227507.0,0.652,1.3e-06,8.0,0.449,-5.358,1.0,0,0.0643,96.086,3.0,0.226
521,048thBsGA2IfiubeNWC0v2,0.0426,6.0,95.0,2015-11-02,0.337,199973.0,0.615,1.67e-05,9.0,0.193,-6.615,0.0,0,0.0937,191.541,6.0,0.0729
607,04aAxqtGp5pv12UXAg4pkq,0.004,78.0,83.0,2015-01-20,0.385,228360.0,0.866,0.0,4.0,0.111,-2.817,0.0,1,0.0697,176.014,70.0,0.548
82,04sT6xbMnJouAktbkkr4qr,0.0253,66.0,84.0,2016-07-22,0.598,202661.0,0.496,0.00132,0.0,0.12,-9.309,1.0,0,0.0804,128.06,66.0,0.722
43,05Z7jet4VDNVgNQWcYHnrk,0.0556,79.0,90.0,2016-12-16,0.762,220813.0,0.576,0.0,1.0,0.0869,-4.951,0.0,0,0.0829,142.096,79.0,0.317
512,05cXQMJcrM9msUYu11mOrs,0.289,63.0,91.0,2015-09-24,0.32,263893.0,0.752,0.000101,6.0,0.102,-4.91,0.0,0,0.056,98.88,63.0,0.398
448,05ljqOaMvnkiWyJWAfjayF,0.089,8.0,84.0,2015-07-31,0.522,236893.0,0.525,3.31e-06,4.0,0.23,-10.1,0.0,0,0.0777,107.309,8.0,0.246
209,06KyNuuMOX1ROXRhj787tj,0.621,87.0,85.0,2016-01-29,0.728,217707.0,0.563,0.0,1.0,0.179,-8.053,0.0,0,0.134,100.017,84.0,0.35
242,06W9lAkSw72ppybh379fmo,0.0177,47.0,44.0,2015-08-28,0.729,224573.0,0.714,0.000586,9.0,0.672,-4.745,1.0,1,0.22,90.009,41.0,0.896
346,07GilNHSfS5oicUgHgU7VG,0.0226,91.0,100.0,2016-05-13,0.79,209413.0,0.62,0.0,7.0,0.365,-8.278,1.0,0,0.195,129.959,62.0,0.258
69,081t95JRuDUrQYSS3h8iKk,0.049,77.0,72.0,2015-11-13,0.477,194560.0,0.672,0.0,1.0,0.355,-5.234,1.0,0,0.0306,139.864,68.0,0.265
457,08IaGkkkxLGSITrkwVP9ua,0.0389,4.0,77.0,2016-02-12,0.737,216948.0,0.716,3.21e-05,5.0,0.105,-4.715,0.0,0,0.0484,118.036,4.0,0.792
689,08N1v3HwtbhYzYRUhnsvJh,0.000699,33.0,78.0,2015-08-14,0.421,212555.0,0.886,0.0,2.0,0.136,-3.117,1.0,0,0.0513,92.861,33.0,0.546
223,09CtPGIpYB4BrO8qb1RGsF,0.0865,87.0,95.0,2015-11-13,0.605,200787.0,0.768,0.0,0.0,0.308,-3.724,0.0,1,0.0476,100.209,75.0,0.396
870,09Ua1o00SlYsiN7Mn3t7ji,0.0229,7.0,78.0,2015-02-12,0.314,216176.0,0.648,0.0,11.0,0.129,-4.556,0.0,0,0.0425,113.047,7.0,0.158
414,09mhA1SJjMHniZPF4Hcihn,0.132,91.0,95.0,2015-11-13,0.59,208120.0,0.797,0.0,4.0,0.0846,-4.901,0.0,0,0.0614,94.948,72.0,0.421
1149,09pN8ymVAs4VAmMAsWc7lu,0.0672,53.0,32.0,2016-08-05,0.615,190507.0,0.824,0.0,5.0,0.343,-3.215,1.0,1,0.0955,159.989,21.0,0.663
391,0AAyo5bMIVgVxv9DF6XV2B,0.137,91.0,100.0,2016-05-13,0.302,328907.0,0.565,0.0,9.0,0.381,-7.663,0.0,0,0.073,76.278,56.0,0.204
547,0AKejOKlGdiB53QpwAeenO,0.356,85.0,90.0,2016-10-11,0.777,214480.0,0.627,0.0,7.0,0.0956,-6.142,1.0,1,0.0792,100.054,85.0,0.432
789,0AXym3uMYhCOngivsnwjkz,0.00721,17.0,74.0,2015-06-23,0.751,203457.0,0.719,0.00152,1.0,0.0949,-5.104,0.0,0,0.0365,99.961,1.0,0.516
718,0AcLrSfAEBQcUnHOTm5pXg,0.278,55.0,61.0,2015-09-25,0.806,277413.0,0.494,4.69e-05,10.0,0.0633,-9.973,0.0,1,0.0786,99.003,49.0,0.871
284,0AdjJ2SaOeb5bPJ67nDbsW,0.356,67.0,71.0,2016-02-05,0.524,254293.0,0.586,0.0,9.0,0.121,-5.431,1.0,0,0.0262,101.214,67.0,0.287
126,0AjrdcjDF0nrsoTzOFdXUv,0.448,18.0,80.0,2015-08-20,0.827,165930.0,0.419,1.25e-06,1.0,0.0964,-10.114,0.0,0,0.332,140.062,18.0,0.457
361,0B3LaidsxjnBTUlKgKQQe5,0.321,61.0,66.0,2016-05-03,0.667,171250.0,0.492,0.0,8.0,0.0744,-8.612,1.0,0,0.03,95.976,61.0,0.807
212,0B8B8cVRFIG1yznoQe7c9s,0.017,75.0,95.0,2016-11-04,0.627,247427.0,0.717,0.0,8.0,0.261,-5.751,0.0,0,0.0376,105.05,75.0,0.569
44,0CexLaYHQrvcTZZb8Ra54e,0.129,37.0,76.0,2016-09-30,0.69,181200.0,0.626,0.0,7.0,0.169,-5.831,1.0,0,0.0275,101.958,37.0,0.652
120,0D21XvHcVsIvJM6FcGY2BT,0.533,80.0,74.0,2016-05-20,0.64,234526.0,0.819,0.0,7.0,0.156,-4.108,1.0,0,0.455,166.012,80.0,0.624
209,0EGuSSpuu9wmHCtvb4PdLO,0.141,79.0,78.0,2016-10-07,0.657,202221.0,0.739,0.0,2.0,0.178,-4.081,1.0,1,0.274,181.994,70.0,0.551
118,0ESJlaM8CE1jRWaNtwSNj8,0.24,91.0,88.0,2016-09-16,0.743,213863.0,0.571,0.0,7.0,0.291,-6.054,0.0,0,0.145,119.054,76.0,0.497
0,0FE9t6xYkqWXU2ahLh6D8X,0.581,100.0,98.0,2017-01-06,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0,0.0802,95.977,100.0,0.933
115,0FImli3RNN8VB3y8EYn2Xc,0.0115,66.0,73.0,2015-05-04,0.641,253200.0,0.758,3.62e-05,6.0,0.176,-7.32,1.0,0,0.0292,113.027,55.0,0.608
867,0GQKP2WgHvBA8Nzb4xZu36,0.0248,79.0,100.0,2015-02-12,0.859,180667.0,0.623,0.0,2.0,0.125,-8.596,1.0,0,0.106,105.45,58.0,0.48
551,0GhuwiwcAuw3zU5QHCmBiP,0.799,48.0,73.0,2015-11-18,0.24,200000.0,0.437,0.0764,2.0,0.0885,-7.44,1.0,0,0.0324,89.538,48.0,0.0779
657,0Gi17qCJh9e9RJxLaYkm9l,0.106,85.0,98.0,2015-08-28,0.585,260640.0,0.421,9.54e-06,7.0,0.14,-9.593,1.0,0,0.0707,132.986,67.0,0.236
643,0H2BuFu2MuJfnF1yHKjBcp,0.00844,64.0,71.0,2015-09-17,0.318,213019.0,0.851,6.93e-05,6.0,0.407,-6.047,1.0,0,0.077,139.42,64.0,0.0862
607,0HFx7PLqzGxSfN59j3UHmR,0.00906,57.0,83.0,2015-03-09,0.775,207719.0,0.68,0.0,0.0,0.109,-5.508,0.0,0,0.0629,114.025,57.0,0.636
727,0HVba4HUwHnGlkHNitXMEL,0.378,79.0,81.0,2015-06-29,0.68,203573.0,0.571,0.0,8.0,0.103,-7.054,1.0,0,0.222,145.021,57.0,0.0836
152,0HtOJj7Kl74s1Ngf3MWeif,0.776,92.0,91.0,2016-12-09,0.435,209080.0,0.202,0.0976,2.0,0.245,-15.097,1.0,0,0.0702,139.574,73.0,0.0451
431,0ICz6zbWzkiAtGquIErfz8,0.0139,66.0,73.0,2015-05-04,0.534,244147.0,0.682,0.0611,9.0,0.0974,-9.447,1.0,0,0.034,87.293,44.0,0.598
333,0IKK48xF4eEdfofyaeKWWO,0.104,72.0,89.0,2016-01-29,0.588,203686.0,0.702,0.0,11.0,0.089,-4.271,1.0,0,0.0496,124.909,72.0,0.41
331,0IOFbRuU9O7BsRMVBT6Rbo,0.63,59.0,82.0,2016-02-05,0.664,160097.0,0.576,0.000198,5.0,0.0902,-6.429,1.0,0,0.0286,76.026,59.0,0.574
56,0KKkJNfGyhkQ5aFogxQAPU,0.013,95.0,93.0,2016-11-17,0.853,206693.0,0.56,0.0,1.0,0.0944,-4.961,1.0,0,0.0406,134.066,82.0,0.853
334,0KMYgSe9JWHloFeEVBU6qq,0.0174,69.0,88.0,2015-10-14,0.755,252142.0,0.686,0.0,0.0,0.11,-6.106,0.0,0,0.0869,111.977,69.0,0.384
475,0KaA33vmmUEY77YD6L3KFi,0.119,65.0,88.0,2015-07-28,0.716,263817.0,0.647,1.38e-05,1.0,0.121,-4.008,1.0,0,0.0345,131.04,65.0,0.159
321,0KdwmtG44yIDpyie4b0jCn,0.105,35.0,84.0,2016-05-13,0.553,170213.0,0.703,0.0,10.0,0.21,-6.414,0.0,0,0.0439,100.006,35.0,0.319
525,0MAubp6s6yJTTaVQtX0VVB,0.117,60.0,100.0,2015-07-31,0.915,190595.0,0.301,0.0,2.0,0.089,-7.657,1.0,0,0.237,100.519,60.0,0.356
553,0Mfbc7b4veAMEiWOffph5q,0.771,51.0,56.0,2015-12-16,0.52,199760.0,0.415,0.0,6.0,0.127,-4.961,0.0,0,0.0261,103.029,33.0,0.454
224,0Mn3amMRMoabaoTf1Publ4,0.00182,74.0,80.0,2015-01-01,0.606,205746.0,0.763,0.000159,10.0,0.116,-6.197,0.0,1,0.0669,130.018,65.0,0.308
181,0NWqNXBJTpXbkI5rPWNy3p,0.446,99.0,98.0,2016-11-25,0.64,321027.0,0.423,0.000151,8.0,0.095,-10.567,0.0,0,0.0657,120.029,74.0,0.168
328,0NmeI6UpRE27dxxgosD5n9,0.0116,22.0,82.0,2016-03-04,0.742,213524.0,0.809,2.77e-06,1.0,0.726,-3.591,0.0,0,0.176,93.95,22.0,0.641
708,0OxqSCaQzLRowTdm9Qvc20,0.457,60.0,68.0,2015-02-24,0.536,201990.0,0.428,0.0,7.0,0.679,-9.608,1.0,0,0.0444,98.817,32.0,0.366
390,0P7HlSwSY8mJCWIk4yunb0,0.0763,91.0,100.0,2016-05-13,0.623,253533.0,0.742,0.0,1.0,0.31,-6.963,1.0,0,0.296,82.884,58.0,0.36
911,0PDUDa38GO8lMxLCRc4lL1,0.117,85.0,89.0,2016-03-25,0.584,202747.0,0.7,0.0,11.0,0.0939,-4.275,1.0,1,0.0456,124.944,78.0,0.425
466,0PRQlfd2DplZWlitPXww38,0.0971,54.0,61.0,2016-02-03,0.692,212907.0,0.774,0.0,7.0,0.106,-4.795,1.0,0,0.0416,102.051,54.0,0.35
674,0PT7nlpo11hYYyfnBgtilT,0.0577,67.0,61.0,2015-05-04,0.779,142212.0,0.472,0.0,11.0,0.114,-7.116,1.0,0,0.218,135.051,67.0,0.4
496,0QQG0RovnsfKUdHJIsJ39f,0.0525,64.0,88.0,2015-10-30,0.599,193333.0,0.869,0.00719,0.0,0.103,-3.697,1.0,0,0.0789,108.061,64.0,0.603
792,0Qdbw4psZRGYANJauFqbdt,0.262,79.0,100.0,2015-02-12,0.825,177733.0,0.757,1.72e-06,11.0,0.0762,-3.687,0.0,0,0.384,172.938,61.0,0.893
243,0SJPThTy7ynySPF4euczx7,0.102,31.0,84.0,2016-02-27,0.803,216575.0,0.631,7.39e-06,8.0,0.0858,-4.213,1.0,0,0.0444,104.999,31.0,0.659
556,0SuLAslEMFZAXf0SwY7syi,0.0508,86.0,84.0,2016-06-10,0.584,217603.0,0.569,0.0,0.0,0.0924,-4.259,1.0,1,0.166,89.779,82.0,0.508
65,0SujigeT7cxuxBfhN3eOcp,0.105,77.0,90.0,2017-01-26,0.803,203180.0,0.743,2.12e-06,1.0,0.099,-3.602,0.0,0,0.0681,108.005,77.0,0.68
83,0SzRkUx56ZhGn4k0g8X1Bw,0.0252,68.0,63.0,2016-03-04,0.528,170093.0,0.928,2.88e-06,3.0,0.0467,-5.743,1.0,0,0.0456,162.069,59.0,0.878
794,0T72I759rYATKkzQzZGyWs,0.0915,48.0,49.0,2015-05-20,0.58,200136.0,0.716,0.000258,5.0,0.153,-6.834,1.0,0,0.0348,113.969,33.0,0.156
38,0TnmrW9L8GSaBMhTtEQtCK,0.198,51.0,86.0,2016-11-04,0.628,220320.0,0.792,0.0,6.0,0.261,-4.205,1.0,0,0.0365,123.13,51.0,0.487
166,0UHJP01i0yukw7Mdbfq7GN,0.0983,36.0,86.0,2016-09-09,0.623,235427.0,0.681,0.0,7.0,0.135,-6.531,1.0,0,0.0478,133.815,36.0,0.363
318,0VzzzYWjBWofMsSB77pDo4,0.141,58.0,87.0,2015-06-05,0.658,202213.0,0.741,0.0,7.0,0.189,-2.86,0.0,0,0.0536,98.024,58.0,0.788
451,0WEVf4RhIrcr3S3ULBrt0T,0.0247,59.0,89.0,2016-03-10,0.565,192133.0,0.832,0.0,10.0,0.26,-5.732,0.0,0,0.114,112.827,59.0,0.232
26,0WjYgf4qH3B0v0HmW61doL,0.378,85.0,79.0,2016-12-02,0.746,253107.0,0.653,0.0,7.0,0.229,-6.745,1.0,0,0.289,75.016,85.0,0.663
246,0X196cAoW63CLQEL21Prh0,0.0783,45.0,82.0,2016-05-13,0.922,316320.0,0.509,0.0,6.0,0.211,-7.637,0.0,0,0.096,112.972,45.0,0.345
845,0XdXCURenDTxvcIop4X4ul,0.309,30.0,69.0,2015-03-03,0.565,269280.0,0.589,0.0,0.0,0.109,-6.275,1.0,0,0.0346,130.008,26.0,0.376
646,0Y0TOsE1q11qgbi7c5WZsG,0.317,79.0,81.0,2015-06-29,0.727,197133.0,0.599,0.0,1.0,0.219,-6.941,1.0,0,0.327,167.909,71.0,0.381
533,0Y0pFPV5Y9OCxY5ZkcAE31,0.206,32.0,81.0,2015-11-20,0.366,597933.0,0.552,0.0595,6.0,0.178,-8.35,1.0,0,0.0317,97.98,32.0,0.108
206,0YSJCrlSWF3meRTNCu54WI,0.157,66.0,81.0,2016-07-15,0.697,231266.0,0.7,0.0,7.0,0.217,-6.651,0.0,1,0.0985,123.013,66.0,0.585
626,0Zr8z1TgQl27P3qYqQltG2,0.00281,58.0,57.0,2015-06-23,0.749,248253.0,0.656,8.44e-06,1.0,0.484,-6.727,1.0,1,0.0547,130.063,57.0,0.506
330,0a3KWFyJEaOBOGKjTGOoN8,0.247,14.0,63.0,2015-07-17,0.539,189507.0,0.779,2.71e-06,4.0,0.386,-4.139,1.0,0,0.0432,164.029,14.0,0.729
170,0azC730Exh71aQlOt9Zj3y,0.199,85.0,88.0,2016-04-29,0.63,222160.0,0.928,0.124,9.0,0.148,-2.787,0.0,0,0.0331,123.963,85.0,0.46
123,0cPpeC9kkHF1SxE4mi3s8J,0.0143,57.0,67.0,2016-01-01,0.63,187813.0,0.716,0.0,10.0,0.0748,-5.711,1.0,0,0.0459,88.532,52.0,0.66
618,0dwudL6pM7zLO7MSUxMUYd,0.0206,54.0,71.0,2015-04-21,0.68,155440.0,0.755,0.0,6.0,0.21,-5.509,0.0,0,0.029,101.048,54.0,0.837
162,0eneujAc4PxkdjP25Gsue1,0.698,67.0,91.0,2016-12-06,0.73,237427.0,0.747,1.63e-05,8.0,0.152,-9.496,0.0,0,0.324,90.039,67.0,0.757
236,0fYVliAYKHuPmECRs1pbRf,0.0112,78.0,81.0,2015-06-30,0.4,195199.0,0.868,0.0685,11.0,0.27,-5.988,0.0,1,0.203,180.261,68.0,0.567
916,0g5EKLgdKvNlln7TNqBByK,0.0203,87.0,89.0,2016-08-05,0.586,220573.0,0.701,0.0,1.0,0.055,-5.326,0.0,1,0.0416,104.957,75.0,0.226
306,0gb1J5UrTpzaU1s3nupgCd,0.0282,80.0,82.0,2016-04-01,0.671,189127.0,0.916,0.00762,6.0,0.24,-4.014,0.0,0,0.0397,126.01,80.0,0.804
608,0hy1SOTEn9ifXTzOwnCwEr,0.0242,79.0,81.0,2015-06-29,0.589,223973.0,0.658,0.0,11.0,0.118,-5.288,0.0,0,0.203,77.521,70.0,0.254
245,0iIReFSw0XoZ61SDy5uaqU,0.395,21.0,76.0,2016-05-27,0.659,180360.0,0.772,0.000443,4.0,0.0721,-5.594,1.0,0,0.0358,92.007,21.0,0.364
188,0ifooM33X1iBxVYyOkSbXW,0.0466,99.0,98.0,2016-11-25,0.853,220173.0,0.65,7.27e-06,7.0,0.089,-7.03,0.0,0,0.0837,113.993,72.0,0.858
78,0ipcmHor30Y8p6hCd8QUVq,0.0165,77.0,77.0,2015-11-11,0.653,199213.0,0.73,1.4e-06,2.0,0.0894,-8.018,1.0,0,0.0378,85.015,70.0,0.638
101,0j2WBxWZnWti5TpSxjJvPb,0.547,75.0,85.0,2016-11-17,0.729,212627.0,0.546,0.00287,7.0,0.0651,-9.305,1.0,0,0.0285,119.941,75.0,0.404
862,0j35X8cTq543QDYLOyqB8W,0.939,56.0,94.0,2015-01-08,0.723,280227.0,0.246,0.0,0.0,0.111,-6.026,1.0,0,0.0409,102.208,56.0,0.124
549,0j4giTw6pwgbFEHwMm4VWe,0.0645,55.0,90.0,2015-09-18,0.726,213876.0,0.792,0.0,1.0,0.0703,-4.64,0.0,0,0.0706,122.003,55.0,0.834
33,0jMikeoKkkSOby4ofddqYs,0.126,72.0,70.0,2016-10-20,0.524,260933.0,0.76,1.1e-05,5.0,0.239,-4.214,1.0,0,0.0361,143.991,72.0,0.449
282,0k9RIzZtAo4DTQu0ZM6lNZ,0.0163,91.0,100.0,2016-05-13,0.74,241400.0,0.47,4.75e-06,1.0,0.199,-11.173,1.0,0,0.15,80.016,68.0,0.299
724,0kIHfcHGFGm5xb0dSlKEdp,0.00714,69.0,75.0,2015-05-04,0.912,225040.0,0.644,0.0,11.0,0.107,-6.632,1.0,0,0.287,96.0,63.0,0.516
491,0kN5Ohxu97lwdDmP5n7FZE,0.258,57.0,83.0,2015-09-17,0.702,213445.0,0.705,5.93e-06,0.0,0.0879,-6.666,1.0,0,0.0543,154.911,57.0,0.749
540,0lLDaAdXcjOQ7Mf2NXzXay,0.0916,19.0,79.0,2015-08-27,0.828,292593.0,0.609,1.21e-06,1.0,0.291,-4.402,1.0,0,0.0694,109.725,19.0,0.724
550,0lYBSQXN6rCTvUZvg9S0lU,0.0771,87.0,89.0,2016-08-05,0.652,205947.0,0.713,1.02e-05,8.0,0.144,-5.311,1.0,1,0.0368,100.023,83.0,0.147
668,0mHmIiOqGhAttmJALd2MuW,0.68,53.0,86.0,2015-08-27,0.64,174507.0,0.888,0.00132,7.0,0.336,-5.421,0.0,0,0.242,157.804,53.0,0.643
833,0mRxPVluGvxD6TitLPcbYt,0.00713,75.0,93.0,2015-03-16,0.553,328827.0,0.852,0.0,10.0,0.463,-4.08,0.0,0,0.305,176.058,53.0,0.269
290,0ohEiGlkEnNCJP1cr7xK08,0.167,57.0,77.0,2015-11-11,0.588,179347.0,0.653,0.0,5.0,0.0843,-8.032,1.0,0,0.0992,160.021,45.0,0.574
662,0osPUefhvYxoB2eZw6prBt,0.777,73.0,92.0,2015-02-23,0.67,254627.0,0.58,0.0,8.0,0.11,-6.586,0.0,0,0.144,157.996,56.0,0.323
746,0pHK5JN6gwqrUDE1lwSQZ9,0.0273,69.0,81.0,2015-05-01,0.359,220867.0,0.669,0.0197,11.0,0.231,-5.854,0.0,0,0.0435,113.61,49.0,0.352
249,0pgDGl7cwvwRPxWOlUcJie,0.117,1.0,53.0,2015-06-24,0.546,201307.0,0.533,0.00145,2.0,0.122,-10.158,1.0,0,0.0289,83.955,1.0,0.367
548,0prNGof3XqfTvNDxHonvdK,0.0294,84.0,88.0,2015-11-13,0.591,230227.0,0.741,0.0,0.0,0.11,-5.751,1.0,1,0.139,97.048,80.0,0.439
114,0q5DrtpnnGpOvBy5nnPMbe,0.261,79.0,79.0,2016-10-28,0.569,184000.0,0.761,6.71e-06,5.0,0.0748,-6.071,0.0,0,0.475,180.122,75.0,0.321
241,0qRZ9ydGdzeVk3S01pLGoJ,0.0362,24.0,79.0,2016-05-06,0.687,218480.0,0.645,0.0,1.0,0.201,-8.38,1.0,0,0.19,84.925,24.0,0.628
553,0qy5D3OJre7SPJNMOL9I71,0.236,79.0,80.0,2016-04-06,0.886,225205.0,0.525,0.0,8.0,0.057,-7.39,1.0,1,0.132,145.99,79.0,0.711
132,0sHxp844QRmAnmTRObE2qM,0.122,73.0,73.0,2016-02-17,0.77,281987.0,0.691,0.0,6.0,0.113,-5.448,0.0,0,0.111,140.052,69.0,0.274
950,0sQLhT32E9ZG2zn5iYR6nN,0.328,66.0,71.0,2015-06-29,0.508,227280.0,0.677,0.0,1.0,0.0491,-5.696,1.0,1,0.0656,121.928,66.0,0.558
510,0sr5LOMv4x0jmTYfe6oOvP,0.147,70.0,71.0,2015-07-31,0.816,241267.0,0.535,4.53e-06,9.0,0.176,-8.302,1.0,0,0.338,80.012,65.0,0.438
68,0swP2oU1YIwdicBy3nfgvw,0.0537,65.0,74.0,2016-07-22,0.524,190493.0,0.842,0.0,6.0,0.0548,-4.79,0.0,0,0.0448,82.002,65.0,0.683
81,0t47PyJgXmnUAK5obb0mM2,0.123,59.0,85.0,2016-07-29,0.791,161633.0,0.655,0.0,0.0,0.0839,-7.109,1.0,0,0.0417,97.998,59.0,0.475
426,0tCuyg1OikbQ4nIq36n26D,0.593,21.0,94.0,2016-04-04,0.653,130293.0,0.734,0.0,11.0,0.788,-4.139,1.0,0,0.362,144.926,7.0,0.287
453,0tISnxqgVmxqhVghsTi2Rr,0.00218,78.0,86.0,2016-03-25,0.926,197747.0,0.517,0.0,9.0,0.091,-6.794,1.0,0,0.184,132.07,65.0,0.269
502,0tPShxf8VJUH6RBDEP3tVB,0.144,64.0,90.0,2016-01-22,0.864,238534.0,0.551,0.0,3.0,0.104,-5.198,1.0,0,0.22,139.934,64.0,0.393
541,0tjtAeucl6tl3EjY0bMj3K,0.275,12.0,78.0,2015-08-07,0.672,236907.0,0.787,0.0,8.0,0.139,-5.702,1.0,0,0.0384,141.231,12.0,0.96
967,0uFehR61JaZQmGKhztycR5,0.0908,65.0,75.0,2016-03-11,0.529,240320.0,0.638,0.0,1.0,0.107,-6.159,0.0,1,0.0345,128.007,50.0,0.282
611,0uZzdkuzJEjFzaRR2HQ5mj,0.0115,64.0,86.0,2015-10-22,0.42,194907.0,0.867,0.0,9.0,0.0851,-5.397,1.0,0,0.0859,78.814,54.0,0.625
113,0utlOiJy2weVl9WTkcEWHy,0.358,92.0,91.0,2016-12-09,0.894,216520.0,0.284,0.000487,11.0,0.11,-13.002,0.0,0,0.33,138.944,78.0,0.413
232,0uyZ5ckiIUbFZd3P6RWmrj,0.225,79.0,78.0,2016-10-07,0.885,192376.0,0.801,1.65e-06,11.0,0.0733,-4.716,0.0,1,0.0882,95.011,69.0,0.481
207,0v9Wz8o0BT8DU38R4ddjeH,0.156,91.0,86.0,2016-05-27,0.652,304607.0,0.795,0.0,11.0,0.123,-5.192,0.0,0,0.174,135.018,81.0,0.788
9,0wI7QkCcs8FUQE1OkXUIqd,0.0272,61.0,88.0,2015-11-13,0.318,230240.0,0.751,0.0,0.0,0.11,-5.732,1.0,0,0.289,193.62,48.0,0.431
582,0wIXZ4dPhQn1GYQBSC1Pkh,0.919,51.0,56.0,2015-12-16,0.301,214147.0,0.379,9.15e-05,7.0,0.191,-6.29,1.0,0,0.0292,83.828,30.0,0.328
620,0xDCBsAlHqz0vm0aOVZcgT,0.0667,18.0,76.0,2015-06-09,0.69,221606.0,0.774,3.54e-06,0.0,0.0799,-6.99,1.0,0,0.0712,84.993,18.0,0.572
52,0y3fi7fknIXOxnkbUgzT3n,0.00615,59.0,71.0,2016-03-25,0.633,193173.0,0.833,0.000148,8.0,0.0827,-3.001,1.0,0,0.043,139.963,59.0,0.709
460,0yKXxMgfRpYzVeIbPZss5B,0.0867,10.0,88.0,2015-04-30,0.382,200226.0,0.816,0.0,0.0,0.0649,-3.957,1.0,0,0.09,119.587,10.0,0.349
421,0ysmhSqZrkiRkRH4mH8rDn,0.083,11.0,98.0,2015-05-27,0.576,242519.0,0.55,0.0,0.0,0.139,-7.01,0.0,0,0.0649,113.048,11.0,0.114
566,10SDxx0CFWGqgVVBeX22TP,0.121,91.0,95.0,2015-11-13,0.644,286853.0,0.595,0.0,1.0,0.279,-6.877,1.0,0,0.215,148.889,64.0,0.543
526,10sqe2FD4eb8MovY8Nyaii,0.105,74.0,84.0,2015-10-02,0.736,238427.0,0.767,0.0,4.0,0.0803,-5.489,0.0,1,0.034,119.996,68.0,0.104
413,11BIoKDpTJHX5mZt6p566h,0.0566,66.0,77.0,2015-12-18,0.526,267212.0,0.655,0.0,1.0,0.116,-4.208,0.0,0,0.326,121.127,66.0,0.161
173,11hqMWwX7sF3sOGdtijofF,0.00849,24.0,100.0,2016-04-05,0.776,173975.0,0.624,0.00208,1.0,0.356,-5.815,1.0,0,0.0505,103.987,24.0,0.349
371,12C1XYFQGZYXRYJNbsgDc7,0.0331,91.0,100.0,2016-05-13,0.584,240653.0,0.67,7.18e-06,7.0,0.109,-7.077,1.0,0,0.164,193.8,61.0,0.223
495,12VPYOEM6y4uobCmEwAFK8,0.0349,0.0,77.0,2015-08-24,0.781,189098.0,0.893,0.0,5.0,0.637,-3.589,1.0,0,0.0463,120.018,0.0,0.653
96,12mGwph2YzDIlChtq3EdXP,0.0244,77.0,78.0,2016-05-13,0.636,273803.0,0.953,0.0164,2.0,0.108,-3.74,1.0,0,0.0353,142.011,77.0,0.397
579,150xRZE9rtvEPdedbf3y3l,0.907,91.0,95.0,2015-11-13,0.558,234787.0,0.296,0.0,10.0,0.108,-9.18,1.0,0,0.0427,76.04,63.0,0.473
373,15P4Osep3FIiZvDoccy1HK,0.000953,25.0,76.0,2015-02-24,0.59,257747.0,0.808,1.53e-06,1.0,0.0918,-6.728,1.0,0,0.0408,106.029,25.0,0.598
185,15k2nBQJ0teDmPZHrOXL2N,0.0322,99.0,98.0,2016-11-25,0.549,221920.0,0.595,0.0,7.0,0.103,-7.583,0.0,0,0.0989,149.859,72.0,0.392
10,15vzANxN8G9wWfwAJLLMCg,0.0243,94.0,95.0,2017-01-13,0.646,221520.0,0.644,0.0,2.0,0.0888,-6.763,1.0,0,0.031,99.999,94.0,0.26
212,16Ah4QqH4mgYVXqfC4mdSd,0.0129,80.0,84.0,2016-08-19,0.487,228640.0,0.532,0.0,11.0,0.123,-8.129,0.0,1,0.245,138.13,73.0,0.247
723,17AS0y6FnHdYImAPUydAJg,0.0411,79.0,81.0,2015-06-29,0.699,161907.0,0.543,1.26e-06,0.0,0.178,-8.879,1.0,0,0.138,130.064,60.0,0.134
404,17Q87zeXgsAi9iQQbMu9v0,0.00322,68.0,100.0,2016-02-05,0.592,202451.0,0.455,3.72e-05,1.0,0.154,-7.698,1.0,0,0.393,146.316,68.0,0.0568
927,17Vry8h1fUTYg8NL6pHhem,0.0952,72.0,64.0,2016-01-01,0.533,190240.0,0.886,0.0,0.0,0.287,-2.7,0.0,1,0.0342,99.988,61.0,0.711
712,18FYtOAl6cVPAvFyVqWuZY,0.048,43.0,63.0,2015-06-29,0.487,200373.0,0.721,0.0,0.0,0.311,-6.146,1.0,0,0.0493,167.918,32.0,0.516
1145,18c9FnTPo367GespQXKgC7,0.0177,46.0,58.0,2015-11-06,0.674,194000.0,0.695,0.0011,7.0,0.0572,-5.285,1.0,1,0.0859,98.063,46.0,0.444
